Class,PK_CountLineCode,PK_CountLineCodeDecl,PK_CountLineCodeExe,PK_AvgLineCode,PK_AvgLineCodeDecl,PK_AvgLineCodeExe,PK_MaxLineCode,PK_MaxLineCodeDecl,PK_MaxLineCodeExe,PK_MinLineCode,PK_MinLineCodeDecl,PK_MinLineCodeExe,PK_SDLineCode,PK_SDLineCodeDecl,PK_SDLineCodeExe,PK_CountStmt,PK_CountStmtDecl,PK_CountStmtExe,PK_AvgStmt,PK_AvgStmtDecl,PK_AvgStmtExe,PK_MaxStmt,PK_MaxStmtDecl,PK_MaxStmtExe,PK_MinStmt,PK_MinStmtDecl,PK_MinStmtExe,PK_SDStmt,PK_SDStmtDecl,PK_SDStmtExe,PK_CountDeclClassMethod,PK_CountDeclClassVariable,PK_CountDeclInstanceMethod,PK_CountDeclInstanceVariable,PK_PKNOMNAMM,PK_CountDeclClass,PK_CountDeclFile,PK_SumCyclomatic,PK_SumCyclomaticModified,PK_SumCyclomaticStrict,PK_SumEssential,PK_MaxCyclomatic,PK_MaxCyclomaticModified,PK_MaxCyclomaticStrict,PK_MaxEssential,PK_AvgCyclomatic,PK_AvgCyclomaticModified,PK_AvgCyclomaticStrict,PK_AvgEssential,PK_MinCyclomatic,PK_MinCyclomaticModified,PK_MinCyclomaticStrict,PK_MinEssential,PK_SDCyclomatic,PK_SDCyclomaticModified,PK_SDCyclomaticStrict,PK_SDEssential,PK_MaxNesting,PK_MinNesting,PK_AvgNesting,PK_SDNesting,PK_CountDeclMethodDefault,PK_CountDeclMethodPrivate,PK_CountDeclMethodProtected,PK_CountDeclMethodPublic,PK_PKNOAMM,PK_PKNOI,PK_PKNOAC,CSLEX_NumberOfTokens,CSLEX_NumberOfUniqueTokens,CSLEX_NumberOfIdentifies,CSLEX_NumberOfUniqueIdentifiers,CSLEX_NumberOfKeywords,CSLEX_NumberOfUniqueKeywords,CSLEX_NumberOfAssignments,CSLEX_NumberOfOperatorsWithoutAssignments,CSLEX_NumberOfUniqueOperators,CSLEX_NumberOfSemicolons,CSLEX_NumberOfDots,CSLEX_NumberOfReturnAndPrintStatements,CSLEX_NumberOfConditionalJumpStatements,CSLEX_NumberOfUnConditionalJumpStatements,CSLEX_NumberOfExceptionStatements,CSLEX_NumberOfNewStatements,CSLEX_NumberOfSuperStatements,CSORD_CountLineCode,CSORD_CountLineCodeDecl,CSORD_CountLineCodeExe,CSORD_AvgLineCode,CSORD_AvgLineCodeDecl,CSORD_AvgLineCodeExe,CSORD_MaxLineCode,CSORD_MaxLineCodeDecl,CSORD_MaxLineCodeExe,CSORD_MinLineCode,CSORD_MinLineCodeDecl,CSORD_MinLineCodeExe,CSORD_SDLineCode,CSORD_SDLineCodeDecl,CSORD_SDLineCodeExe,CSORD_LogLineCode,CSORD_LogLineCodeDecl,CSORD_LogLineCodeExe,CSORD_CountLineCodeNAMM,CSORD_CountLineCodeDeclNAMM,CSORD_CountLineCodeExeNAMM,CSORD_AvgLineCodeNAMM,CSORD_AvgLineCodeDeclNAMM,CSORD_AvgLineCodeExeNAMM,CSORD_MaxLineCodeNAMM,CSORD_MaxLineCodeDeclNAMM,CSORD_MaxLineCodeExeNAMM,CSORD_MinLineCodeNAMM,CSORD_MinLineCodeDeclNAMM,CSORD_MinLineCodeExeNAMM,CSORD_SDLineCodeNAMM,CSORD_SDLineCodeDeclNAMM,CSORD_SDLineCodeExeNAMM,CSORD_LogStmt,CSORD_LogStmtDecl,CSORD_LogStmtExe,CSORD_CountStmt,CSORD_CountStmtDecl,CSORD_CountStmtExe,CSORD_AvgStmt,CSORD_AvgStmtDecl,CSORD_AvgStmtExe,CSORD_MaxStmt,CSORD_MaxStmtDecl,CSORD_MaxStmtExe,CSORD_MinStmt,CSORD_MinStmtDecl,CSORD_MinStmtExe,CSORD_SDStmt,CSORD_SDStmtDecl,CSORD_SDStmtExe,CSORD_CountStmtNAMM,CSORD_CountStmtDeclNAMM,CSORD_CountStmtExeNAMM,CSORD_AvgStmtNAMM,CSORD_AvgStmtDeclNAMM,CSORD_AvgStmtExeNAMM,CSORD_MaxStmtNAMM,CSORD_MaxStmtDeclNAMM,CSORD_MaxStmtExeNAMM,CSORD_MinStmtNAMM,CSORD_MinStmtDeclNAMM,CSORD_MinStmtExeNAMM,CSORD_SDStmtNAMM,CSORD_SDStmtDeclNAMM,CSORD_SDStmtExeNAMM,CSORD_CountDeclClassMethod,CSORD_CountDeclClassVariable,CSORD_CountDeclInstanceMethod,CSORD_CountDeclInstanceVariable,CSORD_CSNOMNAMM,CSORD_SumCSNOP,CSORD_MaxCSNOP,CSORD_MinCSNOP,CSORD_AvgCSNOP,CSORD_SDCSNOP,CSORD_SumCSNOPNAMM,CSORD_MaxCSNOPNAMM,CSORD_MinCSNOPNAMM,CSORD_AvgCSNOPNAMM,CSORD_SDCSNOPNAMM,CSORD_SumCyclomatic,CSORD_SumCyclomaticModified,CSORD_SumCyclomaticStrict,CSORD_SumEssential,CSORD_MaxCyclomatic,CSORD_MaxCyclomaticModified,CSORD_MaxCyclomaticStrict,CSORD_MaxEssential,CSORD_AvgCyclomatic,CSORD_AvgCyclomaticModified,CSORD_AvgCyclomaticStrict,CSORD_AvgEssential,CSORD_MinCyclomatic,CSORD_MinCyclomaticModified,CSORD_MinCyclomaticStrict,CSORD_MinEssential,CSORD_SDCyclomatic,CSORD_SDCyclomaticModified,CSORD_SDCyclomaticStrict,CSORD_SDEssential,CSORD_LogCyclomatic,CSORD_LogCyclomaticStrict,CSORD_LogCyclomaticModified,CSORD_LogEssential,CSORD_SumCyclomaticNAMM,CSORD_SumCyclomaticModifiedNAMM,CSORD_SumCyclomaticStrictNAMM,CSORD_SumEssentialNAMM,CSORD_MaxCyclomaticNAMM,CSORD_MaxCyclomaticModifiedNAMM,CSORD_MaxCyclomaticStrictNAMM,CSORD_MaxEssentialNAMM,CSORD_AvgCyclomaticNAMM,CSORD_AvgCyclomaticModifiedNAMM,CSORD_AvgCyclomaticStrictNAMM,CSORD_AvgEssentialNAMM,CSORD_MinCyclomaticNAMM,CSORD_MinCyclomaticModifiedNAMM,CSORD_MinCyclomaticStrictNAMM,CSORD_MinEssentialNAMM,CSORD_SDCyclomaticNAMM,CSORD_SDCyclomaticModifiedNAMM,CSORD_SDCyclomaticStrictNAMM,CSORD_SDEssentialNAMM,CSORD_MaxNesting,CSORD_MinNesting,CSORD_AvgNesting,CSORD_SDNesting,CSORD_PercentLackOfCohesion,CSORD_CountClassCoupled,CSORD_RFC,CSORD_FANIN,CSORD_FANOUT,CSORD_ATFD,CSORD_CFNAMM,CSORD_DAC,CSORD_NumberOfMethodCalls,CSORD_CountDeclMethodDefault,CSORD_CountDeclMethodPrivate,CSORD_CountDeclMethodProtected,CSORD_CountDeclMethodPublic,CSORD_CSNOAMM,CSORD_MaxInheritanceTree,CSORD_CountClassDerived,CSORD_CountClassBase,CSORD_NIM,CSORD_NMO,CSORD_NOII,CSORD_SumCountPath,CSORD_MinCountPath,CSORD_MaxCountPath,CSORD_AvgCountPath,CSORD_SDCountPath,CSORD_SumCountPathLog,CSORD_MinCountPathLog,CSORD_MaxCountPathLog,CSORD_AvgCountPathLog,CSORD_SDCountPathLog,CSORD_SumKnots,CSORD_MinKnots,CSORD_MaxKnots,CSORD_AvgKnots,CSORD_SDKnots,CSORD_NumberOfClassConstructors,CSORD_NumberOfDepends,CSORD_NumberOfDependsBy,CSORD_NumberOfMethods,Label_LineCoverage,Label_BranchCoverage,Tests,Label_Combine1
guiDriver,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1912,139,424,81,94,18,33,57,7,114,113,9,13,0,2,20,0,163,39,100,6,1.2,3.6,12,2,8,3,1,1,3.794733192202056,0.4000000000000001,3.2,1.4913616938342726,0.8450980400142568,1.2787536009528289,30,6,18,6.0,1.2,3.6,12,2,8,3,1,1,3.794733192202056,0.4000000000000001,3.2,1.3617278360175928,0.8450980400142568,1.230448921378274,145,46,99,4.4,1.2,3.2,8,2,7,2,1,1,2.9393876913398143,0.4000000000000001,2.7129319932501077,22,6,16,4.4,1.2,3.2,8,2,7,2,1,1,2.9393876913398143,0.4000000000000001,2.7129319932501077,0,0,5,7,4,11,3,0,2.2,1.16619037896906,11,3,0,2.2,1.16619037896906,6,6,6,5,2,2,2,1,1,1,1,1,1,1,1,1,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.0,0.8450980400142568,0.8450980400142568,0.8450980400142568,0.7781512503836436,6,6,6,5,2,2,2,1,1.2,1.2,1.2,1.0,1,1,1,1,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.0,1,0,0.2,0.4000000000000001,74,14,0,19,21,1,0,7,0,1,0,0,4,0,1,0,1,12,0,24,6,1,2,1.2,0.4000000000000001,0,0,0,0.0,0.0,1,0,1,0.2,0.4000000000000001,1,7,4,5,87.3,85.9,10.6,86.6
jgaapGUI,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,3767,294,781,146,184,14,65,12,5,273,232,4,10,0,0,76,0,347,70,235,72,3.5,58.75,232,11,192,3,1,1,94.10765112359356,4.330127018922194,78.52189185189056,2.4638929889859083,1.1760912590556811,2.3729120029701067,290,14,235,72.5,3.5,58.75,232,11,192,3,1,1,94.10765112359356,4.330127018922194,78.52189185189056,2.36735592102602,1.0791812460476249,2.34635297445064,288,67,221,58.0,2.75,55.25,193,8,192,2,1,1,78.99683537965302,3.0310889132455348,79.58446770570248,232,11,221,58.0,2.75,55.25,193,8,192,2,1,1,78.99683537965302,3.0310889132455348,79.58446770570248,0,0,4,55,3,1,1,0,0.25,0.4330127018922193,1,1,0,0.25,0.4330127018922193,14,14,14,4,11,11,11,1,3,3,3,1,1,1,1,1,4.330127018922194,4.330127018922194,4.330127018922194,0.0,1.1760912590556811,1.1760912590556811,1.1760912590556811,0.6989700043360189,14,14,14,4,11,11,11,1,3.5,3.5,3.5,1.0,1,1,1,1,4.330127018922194,4.330127018922194,4.330127018922194,0.0,3,0,0.75,1.299038105676658,69,34,0,79,122,4,0,55,0,0,1,0,3,0,1,0,2,698,1,24,14,1,11,3.5,4.330127018922194,1,0,1,0.25,0.4330127018922193,9,0,9,2.25,3.897114317029974,1,4,1,4,93.4,78.3,9.0,85.85
com.sap.managementconsole.soap.axis.sapcontrol.SAPControl_BindingStub,13289,2869,9062,8,61.3695652173913,197.0,3531,263,3005,5,4,0,495.6268419346603,36.31705713492489,425.02920615759626,9739,2163,7576,46.02173913043478,46.02173913043478,164.69565217391303,2971,258,2713,4,4,0,418.47085312472336,35.061740036209414,385.05532462825994,143,104,1038,478,220,46,46,1849,1849,2902,1377,31,31,61,5,1,1,2,1,0,0,0,0,50.98235822970162,50.98235822970162,54.843582354910495,26.05462670580464,4,0,1.173913043478261,0.7010658911563957,0,7,6,1168,881,2,0,63401,726,18436,347,2986,29,775,72,4,2602,11918,75,140,0,565,1051,83,3531,263,3005,46,3.4133333333333336,39.906666666666666,585,16,579,3,1,1,68.82881050516242,1.9872482370241404,68.47153634094164,3.5459253293558426,2.4099331233312946,3.4762517960070336,3097,214,2671,49.95161290322582,3.4516129032258065,43.08064516129032,585,16,579,3,1,1,75.31555710847418,2.175207957094609,74.91184031205349,3.4709981696608736,2.4031205211758184,3.432327792261604,2971,258,2713,39.42666666666667,3.36,36.06666666666667,582,14,568,2,1,1,68.74342118017951,1.6784119478443504,67.57836603200433,2646,210,2436,42.67741935483871,3.3870967741935485,39.290322580645146,582,14,568,2,1,1,75.19561032862963,1.8347438839432093,73.91634048178067,7,1,68,4,59,106,27,0,1.413333333333333,3.491297116482004,94,27,0,1.5161290322580645,3.7919351408460216,367,367,367,186,31,31,31,4,4,4,4,2,1,1,1,1,3.519747465688728,3.519747465688728,3.519747465688728,1.499866660740214,2.5658478186735176,2.5658478186735176,2.5658478186735176,2.271841606536499,300,300,300,146,31,31,31,4,4.838709677419357,4.838709677419357,4.838709677419357,2.3548387096774195,1,1,1,1,3.8612781954696778,3.8612781954696778,3.8612781954696778,1.4929595439233725,4,0,2.4133333333333336,1.0078800634114269,78,59,0,337,983,11,0,5,7,0,7,1,67,13,2,0,2,12,64,21,268436656,1,268435460,3579155.4133333336,30788920.01469983,75,0,8,1.0,0.9237604307034012,350,0,29,4.666666666666667,4.05078867492355,3,46,1,75,23.1,9.3,14.6,16.200000000000006
com.sap.managementconsole.soap.axis.saphostcontrol.OperationException,3671,969,2447,9,34.888888888888886,90.62962962962965,1361,106,1145,5,4,0,242.79262321478626,15.774647576818936,207.95888983841442,2631,731,1900,26.074074074074073,26.074074074074073,70.37037037037038,1078,101,977,4,4,0,193.66357490998038,15.541881114817011,178.83639288014442,85,103,243,99,113,27,27,583,583,734,427,13,13,21,5,1,1,2,1,0,0,0,0,26.91035771850168,26.91035771850168,27.253320609147163,13.386109541962151,4,0,1.5925925925925926,1.063162969956098,0,2,8,318,177,2,0,1913,168,427,82,145,22,24,40,8,74,230,14,10,0,1,18,0,150,41,91,6,1.875,3.6875,27,5,20,2,1,0,7.4348734858099625,1.3635890143294642,6.059277494058183,2.041392685158225,1.4913616938342726,1.7781512503836436,66,13,44,13.2,2.6,8.8,27,5,20,2,1,0,10.457533169921096,1.4966629547095769,8.840814442120138,1.812913356642856,1.3424226808222062,1.6434526764861874,101,30,71,4.0,1.3125,2.6875,19,4,15,1,1,0,5.024937810560445,0.8454843286542927,4.194024767451904,42,10,32,8.4,2.0,6.4,19,4,15,1,1,0,7.255342858886823,1.2649110640673518,6.019966777316965,3,1,13,7,3,17,4,0,1.0625,1.2484365222148859,7,4,0,1.4,1.4966629547095764,26,26,40,20,7,7,18,5,1,1,2,1,1,1,1,1,1.6909686573085854,1.6909686573085854,4.344536799245692,0.9682458365518544,1.4313637641589874,1.6127838567197357,1.4313637641589874,1.3222192947339193,15,15,29,9,7,7,18,5,3.0,3.0,5.8,1.8,1,1,1,1,2.5298221281347035,2.5298221281347035,6.675327707311452,1.6000000000000003,3,0,0.25,0.75,83,7,25,36,40,2,4,6,7,0,0,0,16,11,2,0,2,12,2,21,36,1,17,2.25,3.9290584113754283,2,0,1,0.125,0.33071891388307384,5,0,4,0.3125,0.9822646028438572,2,1,2,16,96.9,89.1,33.8,93.0
com.sap.managementconsole.soap.axis.saphostcontrol.SAPHostControl_BindingStub,3671,969,2447,9,34.888888888888886,90.62962962962965,1361,106,1145,5,4,0,242.79262321478626,15.774647576818936,207.95888983841442,2631,731,1900,26.074074074074073,26.074074074074073,70.37037037037038,1078,101,977,4,4,0,193.66357490998038,15.541881114817011,178.83639288014442,85,103,243,99,113,27,27,583,583,734,427,13,13,21,5,1,1,2,1,0,0,0,0,26.91035771850168,26.91035771850168,27.253320609147163,13.386109541962151,4,0,1.5925925925925926,1.063162969956098,0,2,8,318,177,2,0,23617,376,7036,213,1118,28,240,40,4,921,4686,37,88,0,191,362,39,1361,106,1145,51,3.807692307692308,43.769230769230774,239,16,233,3,1,1,52.243017143314816,3.2935745226265456,52.89634834881378,3.1303337684950066,2.0,3.056523724079101,1155,80,989,57.75,4.0,49.45,239,16,233,3,1,1,58.23647911747414,3.7282703764614498,59.11046861597361,3.0293837776852097,1.9822712330395684,2.989004615698537,1078,101,977,41.115384615384606,3.6538461538461537,37.46153846153846,236,14,222,2,1,1,49.178111862804705,2.772700817341317,47.461102104963295,924,76,848,46.2,3.8,42.4,236,14,222,2,1,1,55.04053052069902,3.1400636936215163,53.107814867493836,2,1,24,4,17,39,3,0,1.5,0.8879535677396304,30,3,0,1.5,0.9219544457292888,155,155,155,80,13,13,13,4,5,5,5,3,1,1,1,1,2.9283858671599705,2.9283858671599705,2.9283858671599705,1.3846153846153846,2.1931245983544616,2.1931245983544616,2.1931245983544616,1.9084850188786493,122,122,122,62,13,13,13,4,6.1,6.1,6.1,3.1,1,1,1,1,3.2542280190545965,3.2542280190545965,3.2542280190545965,1.3747727084867525,4,0,2.4615384615384617,1.1512791959304434,76,36,0,140,328,11,0,5,2,0,2,1,23,6,2,0,2,12,20,21,905,1,641,34.80769230769231,121.37418913007104,23,0,3,0.8846153846153846,0.5769230769230769,134,0,7,5.153846153846153,2.8648037614670883,3,26,1,26,41.7,25.2,26.2,33.45
net.sourceforge.squirrel_sql.client.gui.OkClosePanelEvent,4200,1266,2002,11,35.64,80.0,749,143,362,3,2,0,173.1276338427808,35.88746856494617,92.32984349602243,2670,1273,1397,35.92,35.92,55.88,434,156,278,2,2,0,103.16588583441721,37.46136142747617,65.89040597841236,6,50,321,146,141,103,25,600,596,624,358,14,14,17,8,1,1,1,1,0,0,0,0,22.127485171162128,22.135003953015232,23.73095868269969,11.864973662001953,4,0,1.36,1.2289833196589772,28,77,8,214,40,4,0,61,29,14,11,6,6,0,0,0,1,6,0,0,0,0,0,1,7,2,1,4,1.0,1.0,4,1,1,4,1,1,0.0,0.0,0.0,0.6989700043360189,0.3010299956639812,0.3010299956639812,4,1,1,4.0,1.0,1.0,4,1,1,4,1,1,0.0,0.0,0.0,0.4771212547196624,0.3010299956639812,0.3010299956639812,3,2,1,2.0,1.0,1.0,2,1,1,2,1,1,0.0,0.0,0.0,2,1,1,2.0,1.0,1.0,2,1,1,2,1,1,0.0,0.0,0.0,0,0,1,0,0,1,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,1,0,1,15,0,79,1,1,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,3,1,100.0,100.0,2.0,100.0
net.sourceforge.squirrel_sql.client.gui.desktopcontainer.TabbedStyleHintDlg,2499,830,682,5,21.4,22.73333333333333,247,65,86,4,2,0,75.59015955944412,18.64689429011348,24.602077599711407,1399,840,559,21.73333333333333,21.73333333333333,18.633333333333333,119,66,54,2,2,0,36.52896871738313,18.926054939039872,19.37779370539611,8,7,496,64,272,48,30,473,473,474,414,5,5,6,3,1,1,1,1,0,0,0,0,17.122467371523555,17.122467371523555,17.151741084281273,16.263934196729753,3,0,0.6,0.8,84,18,2,400,163,9,2,681,78,141,42,38,13,10,2,1,24,57,1,0,0,0,17,1,33,11,19,13,2.5,9.0,13,3,9,13,2,9,0.0,0.5,0.0,1.4313637641589874,0.7781512503836436,1.2787536009528289,26,5,18,13.0,2.5,9.0,13,3,9,13,2,9,0.0,0.5,0.0,1.3617278360175928,0.7781512503836436,1.2552725051033058,27,10,17,11.0,2.5,8.5,11,3,9,11,2,8,0.0,0.5,0.5,22,5,17,11.0,2.5,8.5,11,3,9,11,2,8,0.0,0.5,0.5,0,1,2,3,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.4771212547196624,0.4771212547196624,0.4771212547196624,0.4771212547196624,2,2,2,2,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50,11,1,12,24,2,0,4,1,0,1,0,1,0,1,0,1,749,0,79,2,1,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,3,1,2,0.0,50.0,1.0,25.0
net.sourceforge.squirrel_sql.client.mainframe.action.DumpApplicationAction,2748,1104,915,10,8.628571428571428,13.028571428571427,244,63,124,4,2,0,38.465526575024,9.661664199403786,19.029279266113967,1725,1056,669,7.942857142857143,7.942857142857143,9.557142857142855,151,59,92,2,2,0,22.412847081210238,8.859032056584503,13.711971530939893,0,40,186,101,78,80,70,334,334,342,189,11,11,12,6,1,1,1,1,0,0,0,0,2.924247679283668,2.924247679283668,3.0907696683604784,1.021803128128438,7,0,1.1571428571428573,1.2494080230906417,3,11,5,167,10,1,2,931,132,228,73,59,19,19,12,5,32,103,0,5,0,2,7,1,61,20,34,27,7.5,16.0,50,14,31,4,1,1,23.0,6.5,15.0,1.740362689494244,1.2041199826559248,1.5185139398778875,54,15,32,27.0,7.5,16.0,50,14,31,4,1,1,23.0,6.5,15.0,1.5910646070264989,1.2787536009528289,1.3222192947339193,41,21,20,19.0,9.0,10.0,36,17,19,2,1,1,17.0,8.0,9.0,38,18,20,19.0,9.0,10.0,36,17,19,2,1,1,17.0,8.0,9.0,0,2,2,0,1,2,1,1,1.0,0.0,2,1,1,1.0,0.0,8,8,10,2,7,7,9,1,4,4,5,1,1,1,1,1,3.0,3.0,4.0,0.0,0.9542425094393248,1.0413926851582251,0.9542425094393248,0.4771212547196624,8,8,10,2,7,7,9,1,4.0,4.0,5.0,1.0,1,1,1,1,3.0,3.0,4.0,0.0,4,0,2.0,2.0,0,21,2,7,25,10,1,2,2,0,0,0,2,0,3,0,1,40,1,79,12,1,11,6.0,5.0,1,0,1,0.5,0.5,2,0,2,1.0,1.0,1,13,1,2,27.3,6.7,3.0,17.0
net.sourceforge.squirrel_sql.client.mainframe.action.OpenConnectionCommand,2748,1104,915,10,8.628571428571428,13.028571428571427,244,63,124,4,2,0,38.465526575024,9.661664199403786,19.029279266113967,1725,1056,669,7.942857142857143,7.942857142857143,9.557142857142855,151,59,92,2,2,0,22.412847081210238,8.859032056584503,13.711971530939893,0,40,186,101,78,80,70,334,334,342,189,11,11,12,6,1,1,1,1,0,0,0,0,2.924247679283668,2.924247679283668,3.0907696683604784,1.021803128128438,7,0,1.1571428571428573,1.2494080230906417,3,11,5,167,10,1,2,997,130,211,79,79,17,14,5,3,36,80,1,3,0,10,8,1,108,24,47,16,2.833333333333333,7.833333333333332,31,7,14,4,1,1,9.708243919473801,2.1921577396609844,5.013869652163773,2.0,1.2552725051033058,1.6812412373755872,95,16,46,19.0,3.2,9.2,31,7,14,4,1,1,8.694826047713663,2.2271057451320093,4.354308211415448,1.662757831681574,1.2552725051033058,1.4623979978989559,52,24,28,7.5,2.833333333333333,4.666666666666667,11,7,10,2,1,1,3.947573094109004,2.1921577396609844,3.39934634239519,43,16,27,8.6,3.2,5.4,11,7,10,2,1,1,3.3823069050575527,2.2271057451320093,3.2619012860600183,0,0,6,6,4,8,5,0,1.3333333333333333,1.7950549357115015,8,5,0,1.6,1.8547236990991407,12,12,12,6,3,3,3,1,2,2,2,1,1,1,1,1,1.0,1.0,1.0,0.0,1.1139433523068367,1.1139433523068367,1.1139433523068367,0.8450980400142568,11,11,11,5,3,3,3,1,2.2,2.2,2.2,1.0,1,1,1,1,0.9797958971132712,0.9797958971132712,0.9797958971132712,0.0,1,0,0.3333333333333333,0.4714045207910317,66,22,0,27,22,6,0,4,0,0,2,0,4,1,1,0,1,12,0,79,13,1,4,2.1666666666666665,1.2133516482134197,1,0,1,0.16666666666666666,0.37267799624996506,5,0,3,0.8333333333333334,1.2133516482134197,1,10,4,6,46.8,55.6,5.8,51.2
net.sourceforge.squirrel_sql.client.mainframe.action.TileInternalFramesAction,2748,1104,915,10,8.628571428571428,13.028571428571427,244,63,124,4,2,0,38.465526575024,9.661664199403786,19.029279266113967,1725,1056,669,7.942857142857143,7.942857142857143,9.557142857142855,151,59,92,2,2,0,22.412847081210238,8.859032056584503,13.711971530939893,0,40,186,101,78,80,70,334,334,342,189,11,11,12,6,1,1,1,1,0,0,0,0,2.924247679283668,2.924247679283668,3.0907696683604784,1.021803128128438,7,0,1.1571428571428573,1.2494080230906417,3,11,5,167,10,1,2,947,143,200,75,82,22,20,15,11,34,84,0,8,1,4,0,1,84,25,37,22,4.0,8.5,57,13,31,1,1,0,23.284920012746447,5.196152422706632,13.009611831257686,1.8325089127062364,1.230448921378274,1.5440680443502757,62,14,33,31.0,7.0,16.5,57,13,31,5,1,2,26.0,6.0,14.5,1.6127838567197357,1.2787536009528289,1.3617278360175928,50,26,24,10.0,4.5,5.5,34,15,19,1,1,0,13.874436925511608,6.0621778264910695,7.826237921249263,37,16,21,18.5,8.0,10.5,34,15,19,3,1,2,15.5,7.0,8.5,0,1,4,2,1,4,1,1,1.0,0.0,2,1,1,1.0,0.0,13,13,14,8,11,11,12,6,4,4,4,2,0,0,0,0,4.493050188902857,4.493050188902857,4.924428900898052,2.345207879911715,1.146128035678238,1.1760912590556811,1.146128035678238,0.9542425094393248,12,12,13,7,11,11,12,6,6.0,6.0,6.5,3.5,1,1,1,1,5.0,5.0,5.5,2.5,7,0,1.75,3.0310889132455348,33,13,1,17,19,4,0,3,1,0,0,1,3,2,2,3,2,36,2,79,18,0,16,4.5,6.652067347825035,1,0,1,0.25,0.4330127018922193,5,0,5,1.25,2.165063509461097,1,10,3,4,34.1,38.1,5.6,36.1
